Rank,Country name,Happiness score,upperwhisker,lowerwhisker,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Dystopia
1,Finland,7.808700085,7.869766235,7.747633934,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,2.762835026
2,Denmark,7.645599842,7.711244583,7.579955101,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,2.432740688
3,Switzerland,7.559899807,7.628527641,7.491271973,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,2.35026741
4,Iceland,7.504499912,7.621346951,7.387652874,10.77255917,0.974669576,73,0.948891878,0.246944219,2.460688114
5,Norway,7.487999916,7.55628109,7.419718742,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,2.168266296
6,Netherlands,7.448900223,7.503372192,7.394428253,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,2.352117062
7,Sweden,7.353499889,7.424519062,7.282480717,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,2.246299267
8,New Zealand,7.299600124,7.376952648,7.222247601,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,2.128108025
9,Austria,7.294199944,7.359595776,7.228804111,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,2.398446083
10,Luxembourg,7.237500191,7.297969818,7.177030563,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,2.153700352
11,Canada,7.23210001,7.311294556,7.152905464,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,2.195269108
12,Australia,7.222799778,7.30480814,7.140791416,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,2.129804134
13,United Kingdom,7.164500237,7.237337589,7.091662884,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,2.236721992
14,Israel,7.128600121,7.211929798,7.045270443,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,2.713358402
15,Costa Rica,7.121399879,7.209239483,7.033560276,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,2.953135014
16,Ireland,7.093699932,7.171832085,7.01556778,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,1.943878174
17,Germany,7.075799942,7.145595074,7.00600481,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,2.295249462
18,United States,6.939599991,7.032339573,6.846860409,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,2.344124794
19,Czech Republic,6.910900116,6.994966984,6.826833248,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,2.796808243
20,Belgium,6.863500118,6.930866241,6.796133995,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,2.348626614
21,United Arab Emirates,6.790800095,6.870568752,6.711031437,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,2.166965961
22,Malta,6.772799969,6.856997967,6.688601971,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,1.952012062
23,France,6.663799763,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,2.053198338
24,Mexico,6.465000153,6.559319973,6.370680332,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,2.662540197
25,Taiwan Province of China,6.45539999,6.532113552,6.378686428,10.77568531,0.894309103,69.59999847,0.77153033,-0.073198698,2.160238743
26,Uruguay,6.440100193,6.529121399,6.351078987,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,2.167276382
27,Saudi Arabia,6.406499863,6.517305851,6.295693874,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,2.203118801
28,Spain,6.400899887,6.483808517,6.317991257,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,1.997088432
29,Guatemala,6.398900032,6.5133605,6.284439564,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,2.882723093
30,Italy,6.38740015,6.47224474,6.302555561,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,2.249505997
31,Singapore,6.377099991,6.442287445,6.311912537,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.937031746
32,Brazil,6.375599861,6.455549717,6.295650005,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,2.571860313
33,Slovenia,6.363399982,6.449328899,6.277471066,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,1.888586521
34,El Salvador,6.34829998,6.462466717,6.234133244,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,2.937191725
35,Kosovo,6.325200081,6.427544117,6.222856045,9.204429626,0.820726514,63.88555527,0.861535907,0.190933764,2.736902714
36,Panama,6.304800034,6.421860695,6.187739372,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,2.221176147
37,Slovakia,6.280600071,6.35683918,6.204360962,10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,2.256422043
38,Uzbekistan,6.257599831,6.36388588,6.151313782,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,2.073346615
39,Chile,6.228499889,6.318118572,6.138881207,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,2.283012867
40,Bahrain,6.227300167,6.387789249,6.066811085,10.67638016,0.876342118,68.5,0.905855775,0.13372919,1.751917362
41,Lithuania,6.215499878,6.302118301,6.128881454,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,2.238146067
42,Trinidad and Tobago,6.191899776,6.416218758,5.967580795,10.26000214,0.91529417,63.5,0.857907116,0.000526841,2.190695763
43,Poland,6.186299801,6.255880356,6.116719246,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,2.056797981
44,Colombia,6.163400173,6.274102688,6.052697659,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,2.421656609
45,Cyprus,6.15899992,6.258187771,6.059812069,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,2.032334805
46,Nicaragua,6.13710022,6.262318611,6.011881828,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,2.496081114
47,Romania,6.123700142,6.216668129,6.030732155,10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,2.412749767
48,Kuwait,6.102099895,6.206563473,5.997636318,11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,1.840167999
49,Mauritius,6.101299763,6.213463783,5.989135742,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,2.006720543
50,Kazakhstan,6.057899952,6.1426301,5.973169804,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,2.021602631
51,Estonia,6.021800041,6.092330933,5.95126915,10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,1.629928112
52,Philippines,6.006000042,6.103722572,5.908277512,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,2.501741886
53,Hungary,6.000400066,6.077767372,5.923032761,10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,2.121845722
54,Thailand,5.998799801,6.082288742,5.91531086,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,1.832384109
55,Argentina,5.974699974,6.079445839,5.869954109,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,2.072540998
56,Honduras,5.953199863,6.082033634,5.824366093,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,2.464295387
57,Latvia,5.949999809,6.018282413,5.881717205,10.17531967,0.918288589,66.8074646,0.671237648,-0.186888844,2.121283054
58,Ecuador,5.925199986,6.028846264,5.821553707,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,2.254933834
59,Portugal,5.910900116,6.015089989,5.806710243,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,1.752558708
60,Jamaica,5.889800072,6.126157284,5.65344286,9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,2.214436531
61,South Korea,5.872399807,5.958806515,5.785993099,10.51056671,0.799387157,73.6027298,0.612965107,-0.043404032,1.946757078
62,Japan,5.870800018,5.951927662,5.789672375,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,1.486200333
63,Peru,5.796800137,5.916970253,5.67663002,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,2.213499546
64,Serbia,5.77820015,5.877596378,5.678803921,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,2.029040098
65,Bolivia,5.747499943,5.846765041,5.648234844,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,2.425928593
66,Pakistan,5.69329977,5.78780365,5.598795891,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,2.976876736
67,Paraguay,5.692100048,5.793937683,5.590262413,9.389982224,0.898727894,65.63993835,0.885923445,0.007997713,1.83412528
68,Dominican Republic,5.689199924,5.826069355,5.552330494,9.664880753,0.882085383,65.80748749,0.866202772,-0.131263286,1.844246864
69,Bosnia and Herzegovina,5.674099922,5.765016556,5.583183289,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,2.16724205
70,Moldova,5.607500076,5.690360069,5.524640083,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,2.370968342
71,Tajikistan,5.555699825,5.619050026,5.492349625,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,2.25650835
72,Montenegro,5.54610014,5.642112255,5.450088024,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,1.880565882
73,Russia,5.546000004,5.623634815,5.468365192,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,1.815716743
74,Kyrgyzstan,5.541500092,5.627108097,5.455892086,8.148405075,0.887228489,64.10601044,0.909374893,0.154772058,2.060206652
75,Belarus,5.539899826,5.612537384,5.467262268,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,1.8069911
76,North Cyprus,5.53550005,5.635532856,5.435467243,10.40570259,0.820356607,73.70222473,0.79529351,0.000227159,1.23668766
77,Greece,5.514999866,5.606986046,5.423013687,10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,2.016179085
78,Hong Kong S.A.R. of China,5.510399818,5.600596905,5.420202732,10.9346714,0.845969081,76.77170563,0.779833794,0.134979904,0.673293114
79,Croatia,5.504700184,5.578756332,5.430644035,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,1.676029205
80,Libya,5.488800049,5.607727528,5.36987257,9.789815903,0.825942934,62.29999924,0.773157001,-0.085054487,1.888563156
81,Mongolia,5.456200123,5.535213947,5.377186298,9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,1.810527563
82,Malaysia,5.384300232,5.479953289,5.288647175,10.26251888,0.816509426,67.10215759,0.894626856,0.114726797,1.319420815
83,Vietnam,5.353499889,5.41974926,5.287250519,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,1.685977936
84,Indonesia,5.285600185,5.379077435,5.192122936,9.36975193,0.808379889,62.15584946,0.870614409,0.519586504,1.479573488
85,Ivory Coast,5.233300209,5.376567364,5.090033054,8.225561142,0.658048689,49.50377274,0.727909327,-0.043991156,3.081022501
86,Benin,5.21600008,5.368408203,5.063591957,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,3.440809727
87,Maldives,5.197599888,5.338691235,5.056508541,9.518632889,0.91316092,70.59999847,0.853962779,0.038085498,1.098674774
88,Congo (Brazzaville),5.194399834,5.345376492,5.043423176,8.536987305,0.640228093,57.92448044,0.719058514,-0.123674095,2.722619534
89,Azerbaijan,5.164800167,5.231826782,5.097773552,9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,1.507632971
90,Macedonia,5.159800053,5.251452446,5.068147659,9.510591507,0.820392311,67.50442505,0.738840938,-0.019877451,1.617594957
91,Ghana,5.147999763,5.262923717,5.033075809,8.350645065,0.728601098,57.20398712,0.794796526,0.094170853,2.378437281
92,Nepal,5.137199879,5.250276566,5.024123192,7.925357342,0.785512447,63.77917862,0.797565043,0.154168829,2.014386892
93,Turkey,5.131800175,5.20988369,5.05371666,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,1.564816713
94,China,5.123899937,5.174667358,5.073132515,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,1.336181879
95,Turkmenistan,5.119100094,5.17668438,5.061515808,9.74803257,0.958966196,62.21170807,0.826457024,0.187671542,1.115337372
96,Bulgaria,5.101500034,5.188173294,5.014826775,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,1.294961452
97,Morocco,5.094799995,5.203875065,4.985724926,8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,2.378402472
98,Cameroon,5.084899902,5.216800213,4.952999592,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,2.719370842
99,Venezuela,5.053199768,5.179189682,4.927209854,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,1.74484086
100,Algeria,5.005099773,5.09180212,4.918397427,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,1.840811729
101,Senegal,4.980800152,5.084227562,4.877372742,8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,2.405123949
102,Guinea,4.949299812,5.09246254,4.806137085,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,2.740729809
103,Niger,4.909599781,5.060927868,4.758271694,6.842166901,0.617435038,53.50009537,0.759772122,0.013860817,3.017630577
104,Laos,4.888599873,4.967526436,4.809673309,8.79858017,0.737502217,58.70992279,0.907213569,0.11137148,1.621152639
105,Albania,4.882699966,4.992686749,4.772713184,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,1.640897036
106,Cambodia,4.848400116,4.962093353,4.734706879,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,1.663300037
107,Bangladesh,4.832799911,4.911443233,4.75415659,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,1.755261898
108,Gabon,4.829299927,4.947425842,4.711174011,9.680537224,0.787886858,59.71533966,0.704829216,-0.222261623,1.735027552
109,South Africa,4.814099789,4.931746006,4.696453571,9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,1.625117302
110,Iraq,4.784800053,4.937272072,4.632328033,9.661095619,0.747694969,59.90354919,0.633182645,-0.06956476,1.752173662
111,Lebanon,4.771500111,4.857257843,4.685742378,9.3617239,0.824338138,67.10658264,0.551357508,-0.06121527,1.53554225
112,Burkina Faso,4.768700123,4.890351772,4.647048473,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,2.588826418
113,Gambia,4.750599861,4.882240772,4.61895895,7.321814537,0.6931687,55.0120163,0.733163178,0.343198717,2.270216465
114,Mali,4.729300022,4.855451107,4.603148937,7.629852295,0.731468976,51.72698212,0.71156615,-0.044366926,2.559335232
115,Nigeria,4.724100113,4.826248169,4.621952057,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,2.219635487
116,Armenia,4.676799774,4.791646481,4.561953068,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,1.468161583
117,Georgia,4.672599792,4.757698059,4.587501526,9.226100922,0.629033029,64.49520874,0.801641524,-0.22892037,1.69239831
118,Iran,4.672399998,4.78192091,4.562879086,9.813719749,0.694689691,66.00614929,0.647873282,0.117891103,1.286969423
119,Jordan,4.633399963,4.748552322,4.518247604,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,1.262258053
120,Mozambique,4.623600006,4.778996944,4.468203068,7.069345951,0.723874032,54.20582199,0.864451885,0.032375868,2.221216202
121,Kenya,4.583000183,4.715898037,4.450102329,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,1.684904575
122,Namibia,4.571100235,4.690628052,4.451572418,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,1.503033161
123,Ukraine,4.56069994,4.658080578,4.463319302,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,1.252669334
124,Liberia,4.557899952,4.71853447,4.397265434,7.054380417,0.70928055,56.09631348,0.735268712,0.04227322,2.386757851
125,Palestinian Territories,4.552800179,4.662314892,4.443285465,8.389223099,0.825295925,62.25,0.645791829,-0.162079096,1.693985701
126,Uganda,4.43200016,4.566251278,4.297749043,7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,1.958671093
127,Chad,4.422699928,4.570153236,4.27524662,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,2.74742651
128,Tunisia,4.392199993,4.489554405,4.294845581,9.314972878,0.688718557,66.89785767,0.593361557,-0.216413811,1.528496742
129,Mauritania,4.374599934,4.482583046,4.266616821,8.233919144,0.790819228,57.01017761,0.551522553,-0.106008142,1.85955739
130,Sri Lanka,4.327000141,4.431047916,4.222952366,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.611288548
131,Congo (Kinshasa),4.31099987,4.524636269,4.097363472,6.694256306,0.672159016,52.90000153,0.700793564,0.083637655,2.437864304
132,Swaziland,4.308100224,4.448145866,4.168054581,9.16267395,0.770290196,51.18823624,0.646822274,-0.19920142,1.686207294
133,Myanmar,4.308000088,4.392180443,4.223819733,8.680481911,0.78440702,58.96171188,0.895075202,0.560663998,0.681462526
134,Comoros,4.288599968,4.453906536,4.1232934,7.833630085,0.625662446,57.34901047,0.547612607,0.090008408,2.17276907
135,Togo,4.187200069,4.309713364,4.064686775,7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,2.409595251
136,Ethiopia,4.186200142,4.262473583,4.109926701,7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,1.628459215
137,Madagascar,4.165599823,4.278382301,4.052817345,7.281685829,0.668195903,59.10542679,0.557574093,-0.011823639,2.136298418
138,Egypt,4.151400089,4.221919537,4.080880642,9.316541672,0.735447824,61.78015137,0.708354175,-0.196878314,1.158818245
139,Sierra Leone,3.926399946,4.046255589,3.806544304,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,2.046271801
140,Burundi,3.775300026,3.98526001,3.565340042,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,2.401507378
141,Zambia,3.759399891,3.878326178,3.640473604,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,1.134339333
142,Haiti,3.720799923,3.919667482,3.521932364,7.411329269,0.593247831,55.59862518,0.537825167,0.40053457,1.619916916
143,Lesotho,3.652800083,3.813757181,3.491842985,7.960488319,0.780495703,48.00362396,0.738125861,-0.145732045,1.445513964
144,India,3.573299885,3.627596378,3.519003391,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.734130859
145,Malawi,3.538000107,3.675710678,3.400289536,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,1.552718282
146,Yemen,3.527400017,3.633549929,3.421250105,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,1.116472721
147,Botswana,3.478899956,3.597563744,3.360236168,9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,0.257240534
148,Tanzania,3.476200104,3.600091219,3.352308989,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.718963385
149,Central African Republic,3.475899935,3.701658487,3.250141382,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,2.860197544
150,Rwanda,3.312299967,3.415053368,3.209546566,7.600104332,0.54083544,61.09884644,0.900589406,0.055483952,0.548444986
151,Zimbabwe,3.299200058,3.414201975,3.184198141,7.865711689,0.763092756,55.61725998,0.711457908,-0.072063953,0.841031075
152,South Sudan,2.816600084,3.027516365,2.605683804,7.425359726,0.553707123,51,0.451313615,0.016518548,1.378751278
153,Afghanistan,2.566900015,2.628270388,2.505529642,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,1.507235646
